City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
Adrar,0,DZ,1552255200,32,27.87,-0.29,66.2,13.87
Albany,90,US,1552256421,74,42.65,-73.75,39.0,12.75
Port Elizabeth,40,US,1552256743,87,39.31,-74.98,55.99,6.93
Biloela,76,AU,1552256749,91,-24.4,150.51,70.82,4.85
Bojnurd,0,IR,1552251600,74,37.47,57.33,35.6,6.93
Bluff,80,AU,1552256751,93,-23.58,149.07,72.26,4.07
Bethel,90,US,1552254960,86,60.79,-161.76,39.2,1.95
Hermanus,92,ZA,1552256179,97,-34.42,19.24,66.0,7.43
Hilo,75,US,1552256725,78,19.71,-155.08,73.0,8.05
Eufaula,90,US,1552256625,65,31.89,-85.15,80.6,10.29
Yellowknife,20,CA,1552256569,72,62.45,-114.38,21.99,6.93
Acapulco,5,MX,1552254600,70,16.86,-99.88,84.2,5.82
Georgetown,20,GY,1552255200,78,6.8,-58.16,84.2,4.7
Provideniya,80,RU,1552256761,100,64.42,-173.23,20.11,32.37
Kiama,75,AU,1552256719,77,-34.67,150.86,75.99,4.7
Kalmunai,88,LK,1552256764,97,7.42,81.82,71.63,0.83
Cidreira,0,BR,1552256765,81,-30.17,-50.22,71.18,9.66
Alyangula,56,AU,1552251600,100,-13.85,136.42,77.0,7.31
Codrington,8,AU,1552256767,61,-28.95,153.24,82.4,10.29
Vaini,0,IN,1552256769,89,15.34,74.49,65.38,1.28
Chokurdakh,80,RU,1552256771,64,70.62,147.9,-8.43,3.06
Kondinskoye,0,RU,1552256772,86,59.65,67.41,28.07,8.43
Zaysan,24,KZ,1552256773,68,47.47,84.87,16.33,2.17
Kaitangata,24,NZ,1552256774,75,-46.28,169.85,57.23,4.41
Saravan,75,AM,1552255200,74,39.72,45.65,35.6,2.24
Bireun,0,ID,1552256777,100,5.2,96.7,80.05,2.73
Tasiilaq,32,GL,1552254600,53,65.61,-37.64,21.2,3.36
Fortuna,0,ES,1552256770,87,38.18,-1.13,60.01,3.36
Shanghai,90,CN,1552256707,100,31.23,121.49,50.0,2.24
Salalah,0,OM,1552254600,22,17.01,54.1,75.2,1.12
Luba,0,PH,1552256783,79,17.32,120.7,60.92,3.18
Saint-Philippe,90,CA,1552256771,86,45.36,-73.48,35.6,17.22
Qaanaaq,32,GL,1552256785,96,77.48,-69.36,-9.06,5.97
Tuktoyaktuk,75,CA,1552255200,78,69.44,-133.03,10.4,4.7
Dillon,1,US,1552256711,62,45.22,-112.64,32.0,4.7
San Jeronimo,44,PE,1552256789,57,-13.65,-73.37,57.19,2.39
Ust-Nera,48,RU,1552256790,65,64.57,143.24,-25.03,2.06
Puerto Ayora,0,EC,1552255200,74,-0.74,-90.35,82.4,8.05
Ponta do Sol,56,BR,1552256792,96,-20.63,-46.0,70.15,3.29
Tabou,32,CI,1552256794,98,4.42,-7.36,82.48,8.66
Murmashi,75,RU,1552253400,85,68.82,32.82,14.0,2.24
Te Anau,12,NZ,1552256796,80,-45.41,167.72,55.03,3.51
Takoradi,0,GH,1552256797,100,4.89,-1.75,81.71,4.63
Kupang,40,ID,1552251600,88,-10.16,123.6,75.2,2.24
Lebyazhye,40,RU,1552256789,86,59.96,29.42,28.99,8.95
Butaritari,76,KI,1552256802,100,3.07,172.79,81.98,14.47
Nishihara,90,JP,1552256759,93,35.74,139.53,53.01,17.22
Tecoanapa,5,MX,1552254600,70,16.99,-99.26,84.2,5.82
Husavik,8,CA,1552256767,68,50.56,-96.99,19.99,8.01
Hithadhoo,8,MV,1552256806,100,-0.6,73.08,83.42,3.06
Cabedelo,0,BR,1552255200,83,-6.97,-34.84,78.8,6.93
Arraial do Cabo,40,BR,1552251600,83,-22.97,-42.02,82.4,14.99
Viedma,0,AR,1552256810,20,-40.81,-62.99,80.9,12.91
Alta Floresta,48,BR,1552256811,82,-9.87,-56.08,81.26,2.28
Norman Wells,75,CA,1552255200,46,65.28,-126.83,30.2,10.29
Nouadhibou,0,MR,1552255200,40,20.93,-17.03,73.4,13.87
Rong Kwang,0,TH,1552256815,76,18.34,100.32,65.38,2.17
Rodez,75,FR,1552256461,86,44.35,2.57,46.99,12.75
Beidao,48,CN,1552256817,71,34.57,105.89,28.52,2.17
Carberry,20,CA,1552255200,67,49.87,-99.36,19.4,12.75
Bemidji,1,US,1552256716,73,47.48,-94.89,23.0,17.22
Necochea,0,AR,1552256480,63,-38.55,-58.74,73.0,3.0
Nelson Bay,20,AU,1552256435,50,-32.72,152.14,79.0,10.29
Carauari,56,BR,1552256823,98,-4.88,-66.9,76.22,3.18
Kapaa,75,US,1552256601,69,22.08,-159.32,78.8,13.87
Saint Anthony,1,US,1552256763,47,43.97,-111.68,37.99,9.17
San Patricio,92,PY,1552256827,70,-26.98,-56.83,77.89,6.31
Faanui,44,PF,1552256828,100,-16.48,-151.75,81.4,10.33
Kavaratti,20,IN,1552256830,100,10.57,72.64,82.61,6.87
Palmer,90,US,1552256641,69,61.6,-149.11,43.0,17.22
San Quintin,0,PH,1552256833,79,17.54,120.52,60.92,3.18
Karratha,0,AU,1552256834,79,-20.74,116.85,74.6,2.73
Skibbereen,20,IE,1552253400,93,51.55,-9.27,35.6,16.11
Nikolskoye,40,RU,1552256789,86,59.7,30.79,28.99,8.95
Torbay,5,CA,1552256601,73,47.66,-52.73,28.0,8.05
Tautira,75,PF,1552256586,70,-17.73,-149.15,87.8,12.75
Ngong,0,KE,1552256195,59,-1.37,36.65,66.2,8.05
Cape Town,40,ZA,1552256463,68,-33.93,18.42,64.4,16.11
Carnarvon,0,ZA,1552256842,37,-30.97,22.13,51.43,6.2
Haines Junction,80,CA,1552256843,76,60.75,-137.51,28.3,5.86
Flin Flon,5,CA,1552255200,52,54.77,-101.88,15.8,6.93
Dayong,20,PH,1552256846,100,11.74,122.04,78.7,7.76
Yar-Sale,80,RU,1552256847,92,66.83,70.83,23.44,9.78
Christchurch,88,NZ,1552256716,82,-43.53,172.64,64.99,11.41
Dikson,32,RU,1552256850,81,73.51,80.55,7.69,7.76
Kodiak,20,US,1552256822,48,39.95,-94.76,45.0,4.7
Ribeira Grande,75,PT,1552251600,87,38.52,-28.7,60.8,12.75
Upernavik,20,GL,1552256854,100,72.79,-56.15,-2.35,9.55
Barabai,0,ID,1552256855,95,-2.59,115.38,73.88,1.16
Nanortalik,0,GL,1552256856,100,60.14,-45.24,27.85,19.28
Tshela,36,CD,1552256857,87,-4.99,12.94,76.18,4.97
Luwuk,32,ID,1552256859,100,-0.95,122.79,76.09,1.95
Kindu,64,CD,1552256860,86,-2.95,25.92,74.2,2.62
Havelock,1,US,1552256632,83,34.88,-76.9,77.0,16.11
Chuy,0,UY,1552256564,76,-33.69,-53.46,69.34,14.47
Bandarbeyla,0,SO,1552256863,100,9.49,50.81,79.46,14.81
Vardo,1,US,1552256848,71,39.62,-77.74,66.0,4.7
Saskylakh,36,RU,1552256866,63,71.97,114.09,-14.01,4.41
Ostrovnoy,92,RU,1552256867,88,68.05,39.51,18.71,8.77
Spassk,88,RU,1552256868,97,53.93,43.19,32.71,6.76
Port Alfred,88,ZA,1552256712,96,-33.59,26.89,66.0,5.99
Kidal,0,ML,1552256870,18,18.44,1.41,63.08,8.66
Linkoping,90,SE,1552256225,86,58.41,15.62,30.2,9.17
Barrow,0,AR,1552256873,30,-38.31,-60.23,77.57,5.19
Sao Filipe,0,CV,1552256874,89,14.9,-24.5,72.4,13.13
Barkot,24,IN,1552256876,66,30.81,78.21,41.57,2.51
Antofagasta,75,CL,1552255200,77,-23.65,-70.4,66.2,12.75
Broken Hill,40,AU,1552251600,64,-31.97,141.45,71.6,9.17
Damaturu,0,NG,1552256880,21,11.75,11.96,82.3,10.78
Thompson,20,CA,1552255200,51,55.74,-97.86,12.2,2.95
Entre Rios,0,BR,1552256882,72,-11.94,-38.08,83.51,8.43
Bundaberg,40,AU,1552256404,83,-24.87,152.35,82.99,6.93
Perisoru,88,RO,1552255825,6,44.45,27.55,57.0,9.55
San Rafael,80,AR,1552256887,50,-34.61,-68.33,65.11,10.56
Port Blair,0,IN,1552256889,100,11.67,92.75,81.85,5.41
Kalabo,8,ZM,1552256890,63,-15.0,22.67,74.33,10.78
Narsaq,0,GL,1552254600,63,60.91,-46.05,26.6,1.12
Waharoa,36,NZ,1552256824,68,-37.76,175.76,75.0,5.01
Saint George,40,GR,1552254600,61,39.45,22.34,50.0,5.82
Saldanha,0,PT,1552256895,80,41.42,-6.55,49.85,5.41
Port Lincoln,92,AU,1552256896,99,-34.72,135.86,64.25,8.43
Lompoc,44,US,1552256883,50,34.64,-120.46,59.0,12.75
New Norfolk,20,AU,1552256895,62,-42.78,147.06,60.01,9.17
Shestakovo,0,RU,1552256900,74,56.49,103.96,6.83,3.96
Katsuura,40,JP,1552256682,81,33.93,134.5,55.0,14.99
San Cristobal,75,EC,1552256169,82,-0.39,-78.55,62.6,10.29
Bredasdorp,92,ZA,1552256110,82,-34.53,20.04,64.4,14.99
Kibre Mengist,0,ET,1552256904,54,5.87,38.99,56.15,3.18
Valley City,1,US,1552254960,73,46.92,-98.0,19.4,14.99
Muros,75,ES,1552256906,93,42.77,-9.06,55.99,3.36
Harper,75,US,1552256720,73,30.3,-99.24,75.2,8.05
Lafiagi,48,NG,1552256914,80,8.85,5.42,78.2,7.99
Rundu,68,NA,1552256916,84,-17.91,19.77,69.38,3.29
Luanda,20,AO,1552255200,83,-8.83,13.24,82.4,9.17
Sorland,0,NO,1552251000,66,67.67,12.69,15.8,4.7
Amapa,20,HN,1552256716,52,15.09,-87.97,87.8,17.22
Poum,12,MK,1552256921,54,41.28,20.71,44.14,3.29
Khasan,80,RU,1552256922,100,42.43,130.64,29.74,4.41
Lieto,20,FI,1552256803,92,60.5,22.46,21.99,4.7
Dingle,8,PH,1552256924,88,11.0,122.67,73.75,6.42
East London,92,ZA,1552256926,100,-33.02,27.91,74.06,21.74
Belgrade,0,RS,1552256405,58,44.82,20.46,57.0,5.82
Sao Joao da Barra,75,BR,1552255200,83,-21.64,-41.05,80.6,13.87
Rocha,0,UY,1552256931,54,-34.48,-54.34,69.25,12.35
Artyom,76,RU,1552253400,62,43.36,132.19,24.8,4.47
Cayenne,75,GF,1552255200,78,4.94,-52.33,80.6,9.17
Aguimes,0,ES,1552256734,82,27.91,-15.45,66.0,21.92
Chauk,0,MM,1552256937,74,20.89,94.82,61.15,5.41
Powell River,75,CA,1552256825,52,49.84,-124.52,50.0,6.93
Careiro da Varzea,40,BR,1552255200,83,-3.2,-59.81,84.2,1.12
Moron,24,VE,1552256941,67,10.49,-68.2,80.14,3.62
Rockland,90,US,1552256749,93,42.13,-70.92,45.0,8.05
Kahului,75,US,1552256811,78,20.89,-156.47,75.0,11.41
Cockburn Town,76,TC,1552256746,98,21.46,-71.14,77.89,21.85
Oranjemund,80,ZA,1552256945,93,-28.55,16.43,62.95,0.94
Penzance,32,GB,1552256711,81,50.12,-5.53,46.0,21.92
Warrington,40,GB,1552256705,75,53.39,-2.59,41.0,27.51
Susuman,44,RU,1552256950,49,62.78,148.15,-19.45,2.62
Padang,44,ID,1552256951,100,-0.92,100.36,79.28,4.52
Airai,68,TL,1552256952,88,-8.93,125.41,68.66,1.72
Lincoln,40,GB,1552256941,93,53.23,-0.54,37.99,21.92
Huicungo,64,PE,1552256955,86,-7.28,-76.8,78.16,1.39
Orumiyeh,40,IR,1552251600,74,37.55,45.08,33.8,4.7
Polunochnoye,0,RU,1552256957,76,60.87,60.43,23.93,8.88
Dongsheng,44,CN,1552256958,79,29.72,112.52,41.89,2.73
Galesong,75,ID,1552253400,100,-5.32,119.37,73.4,1.12
Iranshahr,0,IR,1552251600,38,27.21,60.69,59.0,9.17
Belyy Yar,8,RU,1552253400,78,53.6,91.39,10.4,2.24
Ada,1,US,1552256894,73,47.3,-96.52,21.99,9.17
Volosovo,40,RU,1552256789,86,59.45,29.48,28.99,8.95
Portobelo,40,PA,1552256884,58,9.55,-79.65,89.6,13.87
Megion,75,RU,1552253400,86,61.04,76.11,26.6,15.66
Iqaluit,20,CA,1552256566,76,63.75,-68.52,-11.01,10.29
Zenzeli,48,RU,1552256969,94,45.92,47.05,39.95,9.78
Victoria,75,BN,1552255200,100,5.28,115.24,77.0,3.74
Tamiahua,0,MX,1552256972,89,21.28,-97.45,79.01,8.66
Gravdal,75,NO,1552256889,74,59.79,5.78,30.2,6.93
Maceio,0,BR,1552255200,69,-9.67,-35.74,78.8,8.05
Cherskiy,36,RU,1552256976,68,68.75,161.3,-10.0,2.39
Cap Malheureux,20,MU,1552256947,88,-19.98,57.61,73.99,5.82
Pisco,0,PE,1552256979,60,-13.71,-76.2,80.27,5.97
Ancud,0,CL,1552255200,53,-41.87,-73.83,71.6,5.82
Vostochnyy,0,RU,1552256488,96,55.82,37.87,36.0,6.71
Ahuimanu,75,US,1552256855,69,21.44,-157.84,82.4,10.29
Tyrma,44,RU,1552256986,72,50.04,132.17,16.24,4.29
Meulaboh,64,ID,1552256763,100,4.14,96.13,77.12,5.97
Dothan,40,US,1552256940,61,31.22,-85.39,80.6,9.22
Yeppoon,40,AU,1552255200,78,-23.13,150.74,78.8,4.7
Sechura,32,PE,1552256990,71,-5.56,-80.82,81.13,12.24
Byron Bay,8,AU,1552256767,74,-28.65,153.62,82.99,14.99
Mehamn,0,NO,1552254600,72,71.03,27.85,19.4,16.11
Mar del Plata,0,AR,1552256995,20,-46.43,-67.52,89.5,13.24
Inta,92,RU,1552256996,89,66.04,60.13,28.52,7.31
Shirokiy,80,RU,1552256874,100,53.87,39.17,33.01,1.01
Prince Rupert,90,CA,1552255680,86,54.32,-130.32,37.4,24.16
Marsa Matruh,0,EG,1552255200,81,31.35,27.25,51.8,4.7
Ayan,32,TR,1552257003,78,40.67,33.6,27.15,2.73
Dicabisagan,0,PH,1552257005,100,17.08,122.42,75.3,3.62
Buluang,40,PH,1552255200,78,10.47,123.98,73.4,2.24
Silver City,90,US,1552257006,41,32.77,-108.28,61.0,8.05
Awbari,0,LY,1552257011,17,26.59,12.77,65.85,6.76
Aklavik,75,CA,1552255200,46,68.22,-135.01,28.4,8.88
Klaksvik,88,FO,1552256400,99,62.23,-6.59,35.6,16.11
Lorengau,80,PG,1552257015,100,-2.02,147.27,78.22,14.47
Geraldton,90,CA,1552255200,83,49.72,-86.95,32.0,16.11
Boa Vista,20,BR,1552255200,34,2.82,-60.67,93.2,12.75
Pevek,0,RU,1552257019,85,69.7,170.27,-9.89,2.06
Anadyr,75,RU,1552256591,83,64.73,177.51,-4.01,15.66
Santa Rosa,100,AR,1552257024,52,-36.62,-64.29,67.65,8.55
Nuuk,68,GL,1552254600,78,64.17,-51.74,17.6,10.29
Beloha,20,MG,1552257026,78,-25.17,45.06,72.55,12.8
Aginskoye,0,RU,1552257027,40,51.11,114.54,11.8,15.48
Richards Bay,92,ZA,1552257028,100,-28.77,32.06,70.62,4.52
La Sarre,92,CA,1552256860,90,48.8,-79.2,33.43,15.26
Qasigiannguit,80,GL,1552254600,66,68.82,-51.19,12.2,8.05
Hualmay,80,PE,1552257032,72,-11.1,-77.61,75.48,5.19
Veraval,36,FR,1552257009,81,49.65,0.71,45.0,8.05
San Clemente,1,US,1552257030,54,33.43,-117.61,61.0,10.29
Khuzhir,0,RU,1552257037,71,53.19,107.35,11.26,7.09
Wakefield,40,GB,1552256722,86,53.68,-1.5,39.2,33.33
Pangnirtung,48,CA,1552257039,79,66.15,-65.72,-12.91,5.19
Uvalde,40,US,1552256839,69,29.21,-99.79,80.6,13.87
Mount Gambier,90,AU,1552251600,93,-37.83,140.78,57.2,5.82
Tiksi,0,RU,1552257042,36,71.64,128.87,-24.83,3.51
Verdun,0,FR,1552257043,60,49.16,5.39,44.01,19.46
Bol,0,TD,1552257045,18,13.47,14.72,75.7,13.02
Ingham,100,AU,1552257046,100,-18.65,146.16,79.08,6.64
Udachnyy,48,RU,1552257047,71,66.42,112.4,0.1,3.06
Margate,20,AU,1552257019,62,-43.03,147.26,60.01,9.17
Mackay,40,CA,1552255200,25,53.65,-115.58,39.2,2.24
Llanes,88,ES,1552257025,85,43.42,-4.75,55.99,2.28
Lebu,0,ET,1552257052,73,8.96,38.73,45.64,4.52
Ganzhou,0,CN,1552257053,84,25.86,114.93,47.17,2.51
Noumea,12,NC,1552255200,66,-22.28,166.46,84.2,1.12
Teacapan,0,MX,1552257055,29,22.54,-105.74,86.82,3.62
Askiz,0,RU,1552257057,73,53.13,90.53,9.19,2.84
Kenda,0,DZ,1552255200,65,35.66,5.57,50.0,2.24
Longyearbyen,20,NO,1552254600,64,78.22,15.63,1.4,3.4
Winslow,20,GB,1552257040,81,51.94,-0.88,39.99,14.99
Kirakira,24,SB,1552257061,100,-10.46,161.92,83.62,8.21
Khatanga,68,RU,1552257062,67,71.98,102.47,-1.34,11.12
Sibut,0,CF,1552257064,75,5.73,19.09,69.49,2.62
Coos Bay,1,US,1552257018,57,43.37,-124.22,55.0,16.11
Dzhebariki-Khaya,0,RU,1552257066,74,62.22,135.8,-0.17,2.17
Zhangye,0,CN,1552257067,65,38.94,100.46,20.8,3.74
Plettenberg Bay,48,ZA,1552257068,98,-34.05,23.37,67.02,21.52
Manjacaze,76,MZ,1552257070,84,-24.71,33.88,76.24,6.31
Saint-Augustin,20,FR,1552257009,87,44.83,-0.61,48.99,5.82
Cobija,40,BR,1552255200,78,-11.02,-68.77,82.4,4.7
Salekhard,88,RU,1552257074,79,66.54,66.62,15.13,6.2
Constitucion,5,MX,1552257017,8,23.99,-104.67,82.4,17.22
Lyaskelya,12,RU,1552257077,77,61.77,31.02,12.3,3.29
Bandundu,56,CD,1552257078,94,-3.32,17.38,73.23,3.51
Grand-Santi,36,GF,1552257079,86,4.27,-54.38,76.2,4.41
Itarema,44,BR,1552257080,94,-2.92,-39.92,77.37,6.87
Pamanukan,48,ID,1552257081,100,-6.28,107.82,79.3,14.25
Trairi,92,BR,1552256904,100,-3.28,-39.27,79.6,7.09
Kruisfontein,92,ZA,1552257084,93,-34.0,24.73,65.67,18.61
Parsabad,0,AZ,1552251600,87,39.65,47.92,42.8,9.17
Fez,0,MA,1552255200,71,34.03,-5.02,53.6,13.87
Nenjiang,0,CN,1552257087,52,49.17,125.23,27.6,4.97
Gorin,1,US,1552256901,56,40.36,-92.02,46.0,12.75
Vestmannaeyjar,0,IS,1552257090,100,63.44,-20.27,27.42,7.76
Ahipara,76,NZ,1552255414,98,-35.17,173.16,73.0,7.09
Manaure,0,CO,1552255200,46,11.78,-72.45,91.4,11.41
Meadow Lake,5,CA,1552255200,62,54.13,-108.44,23.0,11.41
Diego de Almagro,0,CL,1552257095,66,-26.39,-70.05,64.0,2.73
Khandyga,0,RU,1552257097,74,62.65,135.58,-0.17,2.17
Middelburg,92,ZA,1552257098,94,-25.77,29.46,61.93,3.4
Bathsheba,20,BB,1552255200,65,13.22,-59.52,78.8,16.11
Brandon,1,US,1552257016,63,43.59,-96.57,28.99,11.41
Caravelas,0,BR,1552257102,100,-17.73,-39.27,83.62,15.26
Nabire,44,ID,1552257103,85,-3.36,135.5,75.93,1.72
Nuevitas,40,CU,1552254600,54,21.55,-77.27,84.2,18.34
Cuamba,0,MZ,1552257105,95,-14.8,36.54,64.0,4.74
Oskarshamn,0,SE,1552257004,68,57.26,16.44,30.99,6.93
Srednebelaya,20,RU,1552253400,39,50.66,128.01,28.4,4.47
Norrtalje,0,SE,1552257091,79,59.76,18.7,26.01,9.17
Oyem,8,GA,1552257110,93,1.6,11.57,72.1,2.28
Kawalu,68,ID,1552257111,92,-7.38,108.21,68.5,2.73
Panorama,0,BR,1552257112,73,-21.35,-51.86,80.47,4.74
Umm Lajj,0,SA,1552257114,100,25.02,37.27,57.75,8.21
Balikpapan,20,ID,1552253400,94,-1.24,116.86,77.0,1.16
Sept-Iles,90,CA,1552256901,79,50.2,-66.38,24.01,16.11
Ebejico,40,CO,1552256961,60,6.33,-75.77,75.2,26.4
General Pico,92,AR,1552257118,56,-35.66,-63.75,67.51,8.43
Tucurui,64,BR,1552257039,94,-3.77,-49.67,76.87,3.06
Erzin,40,TR,1552256909,82,36.95,36.2,57.99,14.99
Lasa,20,CY,1552256223,87,34.92,32.53,53.6,5.82
Matamoros,40,US,1552257058,74,25.87,-97.51,86.0,16.11
Albanel,90,CA,1552256879,92,48.88,-72.44,24.01,11.41
Morgan City,90,US,1552257125,74,29.7,-91.21,82.99,6.93
Roberval,90,CA,1552256879,92,48.51,-72.22,24.01,11.41
Ivanovka,40,KG,1552255200,51,42.89,75.08,32.0,4.47
Biak,56,ID,1552257130,95,-0.91,122.88,79.62,2.39
Evensk,56,RU,1552257131,100,61.92,159.24,8.07,4.41
Jackville,20,CI,1552255200,83,5.21,-4.42,82.4,1.12
Port Hawkesbury,1,CA,1552257126,58,45.62,-61.36,28.99,13.87
Santa Barbara,75,US,1552256764,50,34.42,-119.7,60.8,6.93
Yantzaza,90,EC,1552255200,47,-3.83,-78.76,78.8,9.17
Bossangoa,0,CF,1552257138,57,6.5,17.45,68.68,2.62
Mabaruma,48,GY,1552257139,79,8.2,-59.78,78.58,7.09
Namatanai,92,PG,1552257140,100,-3.66,152.44,77.37,10.11
Shalinskoye,48,RU,1552257142,64,55.72,93.76,16.17,4.63
Hatillo,40,PR,1552257021,88,18.49,-66.83,79.0,24.16
Lodja,44,CD,1552257145,91,-3.52,23.6,71.43,3.18
Talnakh,88,RU,1552257146,88,69.49,88.39,16.53,14.47
Kudahuvadhoo,0,MV,1552257147,100,2.67,72.89,82.45,3.74
Knysna,44,ZA,1552255860,93,-34.04,23.05,62.6,9.17
Gambela,88,ET,1552257150,72,8.25,34.59,67.06,3.18
Thunder Bay,90,CA,1552257135,86,48.41,-89.26,35.01,8.05
Mae Ramat,0,TH,1552257152,78,16.98,98.52,59.05,1.83
Yaan,12,NG,1552257153,87,7.38,8.57,76.96,8.21
Rio Gallegos,0,AR,1552255200,28,-51.62,-69.22,68.0,16.11
Puerto Leguizamo,20,CO,1552256894,78,-0.19,-74.78,83.29,3.62
Gualaquiza,76,EC,1552257157,98,-3.4,-78.58,63.37,0.49
Berberati,0,CF,1552257158,79,4.26,15.79,71.88,2.62
Tonantins,32,BR,1552257159,94,-2.86,-67.77,76.65,2.28
Ternate,20,PH,1552256883,78,14.29,120.72,78.01,2.24
Imbituba,75,BR,1552255200,88,-28.24,-48.67,69.8,11.41
Honningsvag,0,NO,1552254600,72,70.98,25.97,14.0,16.11
Hambantota,0,LK,1552252200,100,6.12,81.12,73.4,3.36
Tessalit,0,ML,1552257165,32,20.2,1.01,52.08,3.62
El Vigia,90,MX,1552256987,44,26.85,-109.72,79.0,4.41
Rexburg,1,US,1552256966,47,43.82,-111.79,37.99,9.17
Murchison,8,AU,1552256659,65,-36.62,145.22,64.99,4.41
Dunedin,76,NZ,1552256995,74,-45.87,170.5,61.0,15.01
San Jose,12,PH,1552256916,95,15.79,120.99,65.6,1.83
Freeport,20,BS,1552255200,69,26.54,-78.7,80.6,6.93
Port Hardy,90,CA,1552255200,60,50.7,-127.42,44.6,11.41
Arlit,44,NE,1552257176,34,18.74,7.39,69.67,4.29
Saint-Francois,90,FR,1552255200,61,46.42,3.91,48.2,4.7
Balabac,0,PH,1552257179,99,7.99,117.06,81.33,7.99
Touros,40,BR,1552255200,83,-5.2,-35.46,80.6,4.7
Berlevag,75,NO,1552254600,72,70.86,29.09,15.8,13.87
Matara,20,PE,1552257182,71,-13.74,-72.9,49.2,1.95
Aykhal,48,RU,1552257184,74,65.95,111.51,-1.21,3.06
Tshikapa,24,CD,1552257185,95,-6.42,20.79,71.47,3.06
Itapora,76,BR,1552257186,74,-22.08,-54.79,80.29,7.2
Jalu,0,LY,1552257187,49,29.03,21.55,53.52,3.06
Matagami,0,NG,1552257188,87,9.67,8.4,65.89,3.18
Takaungu,20,KE,1552251600,88,-3.68,39.86,78.8,3.36
Dourdan,0,FR,1552257141,70,48.53,2.01,46.4,14.99
Aquiraz,75,BR,1552256897,83,-3.9,-38.39,80.6,3.36
Dhidhdhoo,0,MV,1552257194,100,6.88,73.1,81.46,4.97
Vitim,68,RU,1552257195,66,59.44,112.57,11.53,5.19
Havre-Saint-Pierre,20,CA,1552255200,79,50.23,-63.6,19.4,10.29
Marystown,0,CA,1552256533,100,47.17,-55.16,28.0,2.06
Ketchikan,90,US,1552254960,100,55.34,-131.65,39.2,28.86
Rudnyy,90,KZ,1552255200,93,52.96,63.12,33.8,13.42
Willowmore,32,ZA,1552257201,91,-33.3,23.49,60.0,5.75
